id,name,category,co2e_per_flora,location,description,provider
93,Klawock Heenya Improved Forest Management,Improved Forest Management,35,USA,"The Bluesource Klawock Heenya Project protects 8,600 acres of forest on Prince of Wales Island in Alaska, 1,000 acres of which is old-growth forest, home to centuries-old trees and an abundance of biodiversity. The forests of Klawock Heenya have been utilized for centuries for subsistence uses such as firewood, housing materials, and canoe logs. From 1980 to 2015, nearly all the commercially operable timber on Klawock Heenya lands was harvested, narrowly preserving the areas of old growth that remain. Since then, natural regeneration has resulted in thriving second growth forests, with trees reaching up to twelve feet in diameter. The registration and management of this forest carbon project helps ensure the long-term sustainable governance, protecting and preserving the health and age of the forest. The developer of this project is Bluesource LLC. ​*Note: The volumes for this project have been calculated as removals, but are untagged on the registries.",Patch
91,Lancaster County Landfill Gas Capture,Landfill Gas Capture,5,USA,"The landfill methane capture project destroys landfill gas from the Creswell and Frey Farm landfills, two adjacent municipal solid waste facilities located in Manor Township, Pennsylvania. The methane is collected by a network of gas wells at two landfill sites, and conveyed to PPL's 3.2 megawatt gas-to-energy plant. The methane is then combusted and the heat generated by the engine-generators is supplied to the nearby dairy operation for use in their ice cream manufacturing process.",Patch
92,Rwanda high efficiency cookstoves,Renewable Energy,310,Rwanda,"The DelAgua public health program seeks to improve public health in the Republic of Rwanda. The program will distribute high efficiency cook stoves to end-users, addressing several critical public health challenges. Currently, many families in Rwanda cook their meals over unimproved stoves utilizing biomass. Similarly, another leading public health challenge is upper respiratory disease cause in part by indoor air pollution. This program intends to address both of these challenges. The program will distribute high efficiency biomass stoves to households in East Africa. This technology reduces the use of, and demand for, biomass to cook and/or boil water. Technologies will be directly distributed to end-users via either of these methods: 1. At centralized distribution points, where end-users from surrounding villages will be educated on the proper use and maintenance of the technologies. 2. At retail locations, where individuals will be trained directly by retailers.",Patch
95,Direct Air Capture,Direct Air Capture,760,"Nevada, USA",Direct Air Capture is a direct air capture initiative with enhanced mineralization. This innovative project removes CO2 directly from the atmosphere and permanently stores it through mineralization processes.,CNaught
1,Global Fund for Coral Reefs,Ecosystem Conservation,35,Globally,"The Global Fund for Coral Reefs (GFCR) coalition strengthens the resilience of coastal reef ecosystems, communities, and economies by mobilizing new public and private resources that advance sustainable businesses and innovative financial solutions.",FLORAS
83,EPD Carbon Reduction Maximization,Industrial Process Emissions,20,Turkey,EPD Carbon Reduction reduces carbon during the production of Maritime Fuels in the Mediteranean area.,Patch
84,UNDO Enhanced Weathering,Carbon Mineralization,32,United Kingdom,"UNDO focuses on permanently removing carbon from the atmosphere by harnessing naturally occurring processes that do not require additional infrastructure. This allows it to scale quickly and efficiently, with an aim to permanently remove 1 billion tonnes of carbon by 2030. UNDO's first technology is enhanced weathering, the acceleration of natural rock weathering, a geological process which locks away billions of tonnes of CO2 over hundreds of thousands of years. Rock absorbs CO2 when it comes into contact with moisture in soil and from rainfall. UNDO accelerates the natural reaction between basalt and CO2 by working with partners who provide the rock, then spreading it in crushed form on agricultural land, in partnership with regenerative farmers. Because crushed rock is a by-product of an existing industry, there is no need for additional energy to produce it, ensuring a carbon efficiency of 95%. When the rock comes into contact with moisture in the soil and rainfall, mineralization occurs—permanently locking up carbon for over 100,000 years. Additional co-benefits include: 1. Engagement with local communities across the globe and the creation of green jobs in agricultural areas; 2. Increased CO2 absorption and the reduction of nitrous oxide emissions; 3. Slowed ocean acidification and reduced associated impacts on coral reefs and fisheries; 4. Rebalanced soils for healthier plant growth, the reduction of soil nutrient loss and erosion, as well as reduced fertilizer use. All of these co-benefits will in turn help with global food security by improving crop production.The UNDO weathering model predicts the rate at which sequestration occurs based on over 10 external site specific variables. UNDO is working with climate scientists and carbon agencies to write the first methodology for enhanced weathering advanced in-field testing techniques.",Patch
2,GreenCycl,Circularity,300,Netherlands,"GreenCycl develops circular, economically interesting solutions for healthcare. Healthcare is changing; sustainability and circularity are essential. GreenCycl believes in a circular economy, including as a solution for healthcare.",FLORAS
88,China Hebei Province Wind Farm,Renewable Energy,132,China,"Hebei Kangbao Sanxiatian Wind Farm Project is located in Zhangjiakou City, Hebei Province, P.R.China. The wind farm contains 33 sets of turbines with a total installed capacity of 49.5 MW. Electricity generated by the project is delivered to the North China Power Grid (NCPG) and displaces power that would have been supplied by fossil-fuel fired power plants, thereby avoiding greenhouse gas emissions and other air pollutants, including SO2, NOx, and PM. The project is well-regarded by the local community and received strong stakeholder support during the construction phase in 2008. Operation of the wind farm commenced in 2009, and the project continues to improve air quality and boost tax revenues for the regional government.",Patch
87,Salto Pilão Hydroelectric Plant,Renewable Energy,5,Brazil,"The Salto Pilão Hydropower Plant Project consists of a run-of-river hydropower plant with a small reservoir of 0.15 square kilometers and an installed capacity of 191.88 MW. The plant is located between the cities of Lontras, Ibirama, and Apiúna in the state of Santa Catarina, South Region of Brazil. Salto Pilão hydropower plant (Portuguese: Usina Hidrelétrica Salto Pilão, UHESP) is owned by an association of several companies called Consórcio Empresarial Salto Pilão. The primary objective of the UHESP is to help meet Brazil’s rising demand for energy due to rapid economic growth and to improve the supply of electricity while contributing to environmental, social, and economic sustainability. UHESP provides jobs in the region and increases the share of renewable energy in Brazil's total electricity consumption. In the absence of the project, electricity would be generated by the operation of grid-connected power plants, including fossil fuel power plants and hydropower plants with large reservoirs. The implementation of UHESP, a low-impact run-of-river plant, ensures reneable energy generation, reduces the national electric system demand, avoids negative social and environmental impacts caused by the construction of large capacity hydropower plants with expansive reservoirs and fossil fuel-fired thermo power plants, and drives the regional economy, increasing quality of life in local communities.",Patch
96,Pacific Green Heaven,Improved Forest Management,980,"Pacific Northwest, USA",Pacific Green Heaven A is a reforestation initiative in the Pacific Northwest. This project focuses on restoring native forest ecosystems through sustainable planting practices and community engagement.,CNaught
86,Myanmar Improved Cookstoves Campaign,Renewable Energy,16,Myanmar,"Most families in rural communities in Myanmar burn wood over a three-stone hearth for cooking. As a result, Myanmar has one of the highest deforestation rates in the world. In addition, harmful pollution from cooking on open fires causes premature death, especially among women and children. The Myanmar Stoves Campaign replaces the use of three-stone open fires with modern, fuel-efficient cook stoves, which reduces greenhouse gas emissions. The project has been successful in distributing over 14,000 fuel efficient stoves which have improved the lives of more than 60,000 people. The Myanmar Stoves Campaign is a program of the Soneva Foundation and the first Gold Standard certified carbon project in Myanmar. This project activity is implemented by Soneva Foundation, Mercy Corps and Local Vendors in each of the targeted project villages. As of 2017, the campaign covers more than 400 villages in Pyawbwe Township in Mandalay Region in central Myanmar.",Patch
3,e-SAF Upscaling,Sustainable Aviation Fuel,2,Qatar,"e-SAF is a renewable fuel produced using Power-to-Liquids (PtL) technology that utilizes feedstocks, such as renewable (or nuclear) power, carbon dioxide (CO2), and water to create synthetic hydrocarbons.",FLORAS
90,Canada Foam Blowing Agent Substitution,Ozone-Depleting Substances Destruction,280,Canada,"This project replaces hydrofluorocarbon HFC-245fa with Solstice LBA—a new blowing agent—in the production and use of foam. All polyurethane foam requires the use of blowing agents in its manufacture and application. These blowing agents contain chemicals that contribute to global warming, as they release greenhouse gases during their manufacture, use, and end-of-life. The United States Environmental Protection Agency (EPA) assumes the eventual release into the atmosphere of all blowing agents contained in foam. Currently, there are no restrictions on the use of those with high global warming potential—the likes of which are widely used in the spray foam industry.The purpose of this project is to offset the production and eventual greenhouse gas emissions of foam generated by blowing agents with high global warming potential by replacing them with those offering low global warming potential, which have historically had low market-adoption rates.",Patch
85,Oregon Truck Stop Electrification,Renewable Energy,24,USA,"There are approximately 1.3 million long-haul trucks operating in the U.S., and all must stop to rest at truck stops and other locations. During this down time, drivers will typically idle their engines to maintain a comfortable temperature and power devices in their cab compartments. This extended idling burns diesel fuel and releases CO2 to the atmosphere. IdleAir provides comprehensive idle reduction services to the long-haul trucking industry at over 30 Advanced Truck Stop Electrification (ATE) locations across the U.S. ATE is an idling reduction solution that allows a driver to completely shut down the main propulsion engine of the diesel truck, eliminating all of the air pollution associated with diesel engine idling. ATE draws its power from the electric grid, a cleaner and more efficient source of energy, in order to provide heating, air conditioning, and a host of other amenities. ATE saves 1 gallon of diesel per truck per hour, uses only one tenth of the energy used by idling, and avoids over 90 percent of the CO2 emissions produced by and idling diesel engine. In addition to the CO2 emission reductions, ATE systems reduce noise pollution and emissions of criteria pollutants (NOx, PM, CO, VOCs).",Patch
4,Super SAF,Sustainable Aviation Fuel,430,Netherlands,"Sustainable Aviation Fuel (SAF) is made from sustainable resources that can be mixed with fossil jet fuel to reduce emissions. It is a ‘drop-in’ fuel meaning it can be added with no changes needed to the aircraft or infrastructure. Sustainable Aviation Fuel (SAF) can be produced from a variety of sustainable resources, also known as feedstocks. This includes forestry and agricultural waste, used cooking oil, carbon captured from the air, and green hydrogen.",FLORAS
94,Kenya International Small Group Tree Planting,"Afforestation, Reforestation & Revegetation",197,Kenya,"The majority of rural populations in central Kenya rely on subsistence and small-scale farming. However, the rise of crop monocultures, resource scarcity, and severe drought have led to a depletion in soil quality and biodiversity, thus affecting crop yields and putting the livelihoods of these communities at risk. The International Small Group and Tree Planting Program (TIST) supports smallholder farmers in Kenya (as well as India, Uganda, and Tanzania) in planting trees on their community land in order to reduce run-off and erosion, conserve water, and enrich the soil—leading to increased crop yields while mitigating climate change through the natural carbon-absorbing power of trees. The project also supports sustainable development by creating a potential long-term income stream for the farmers: Participants receive a prepayment based on the number of trees they plant and ultimately receive 70% of the profit from the sale of carbon credits. The farmers can also receive alternative benefits including marketable commodities such as firewood, fruit, nuts, and honey. Currently, over 52,000 TIST participants, in over 7,000 Small Groups, are registered in the TIST program in Kenya",Patch
89,Rwanda Safe Community Water Management,Renewable Energy,443,Rwanda,"The quality of water in Rwanda is typically not safe to drink; for clean water, families must either boil it over inefficient wood-fuelled fires or travel long distances. The burden to source water, sometimes hours each day, or suffer respiratory illnesses from inhaling smoke from the indoor fires, especially impacts women and children. Boreholes offer an excellent solution, however, communities are often unable to maintain them over the long term. This project restores and repairs existing boreholes to provide clean drinking water to Rwandan communities, removing the need to boil water for purification. Each borehole is up to 100 metres deep, and can be operated with a simple hand pump. The boreholes will be maintained over the project lifetime. By providing safe water to communities, this project sparks a chain of positive benefits. Children do not have to spend as much time gathering water or firewood, so they can dedicate time to studying. Families' resources are freed up as they don’t have to spend money or time on firewood. Instead they can take part in other income-generating activities, household tasks or taking care of each other. Waterborne and respiratory diseases are reduced thanks to better sanitary conditions. By removing the need to boil water the project significantly reduces greenhouse gas emissions as well as deforestation pressures on surrounding forests where firewood is sourced.",Patch
