category,subcategory,item,unit,co2_kg,country_region,year,source,notes
Freight,Road,Van (up to 1.305t),km,0.20071,UK,2024,DEFRA,
Freight,Road,Van (up to 1.305t),tonne.km,0.85353,UK,2024,DEFRA,
Freight,Road,Van (1.305-1.74t),km,0.21709,UK,2024,DEFRA,
Freight,Road,HGV rigid (>3.5-17t),km,0.70317,UK,2024,DEFRA,Average rigid HGV
Freight,Road,HGV articulated (>3.5-33t),km,0.87504,UK,2024,DEFRA,Average articulated HGV
Freight,Road,HGV all diesel,tonne.km,0.184,UK,2024,DEFRA,Average all HGV types
Freight,Road,HGV refrigerated,km,1.28589,UK,2024,DEFRA,
Freight,Air,Domestic flight,tonne.km,3.15184,UK,2024,DEFRA,Freight by air
Freight,Air,Short-haul flight,tonne.km,1.6075,UK,2024,DEFRA,
Freight,Air,Long-haul flight,tonne.km,0.88917,UK,2024,DEFRA,
Freight,Sea,Sea tanker,tonne.km,0.01783,UK,2024,DEFRA,
Freight,Sea,Cargo ship,tonne.km,0.01783,UK,2024,DEFRA,
Freight,Rail,Freight rail,tonne.km,0.03077,UK,2024,DEFRA,
Travel,Air,Domestic flight,passenger.km,0.27257,UK,2024,DEFRA,Economy class
Travel,Air,Domestic flight,km,0.27257,UK,2024,DEFRA,Economy class
Travel,Air,Short-haul flight (<3700km),passenger.km,0.18592,UK,2024,DEFRA,Economy class
Travel,Air,Long-haul flight (>3700km),passenger.km,0.26128,UK,2024,DEFRA,Economy class
Travel,Car,Average car,km,0.17421,UK,2024,DEFRA,Average all sizes & fuel types
Travel,Car,Average car,miles,0.28035,UK,2024,DEFRA,Average all sizes & fuel types
Travel,Taxi,Taxi,km,0.20708,UK,2024,DEFRA,
Travel,Bus,Local bus,km,0.83565,UK,2024,DEFRA,Per vehicle km
Travel,Bus,Average bus,passenger.km,0.11142,UK,2024,DEFRA,
Travel,Rail,National rail,passenger.km,0.0375,UK,2024,DEFRA,
Travel,Rail,London Underground,passenger.km,0.03565,UK,2024,DEFRA,
Travel,Rail,Light rail/tram,passenger.km,0.04632,UK,2024,DEFRA,
Travel,Hotel,Hotel stay (UK),room.night,10.4,UK,2024,DEFRA,
Travel,Hotel,Hotel stay (UK London),room.night,11.5,UK,2024,DEFRA,
Energy,Electricity,Grid electricity (UK),kWh,0.20705,UK,2024,DEFRA,Direct emissions only
Energy,Electricity,Grid electricity (US),kWh,0.37,US,2024,EPA,US national average
Energy,Electricity,Grid electricity (Global),kWh,0.475,Global,2024,IEA/EDGAR,Global average
